competition_key,season,team_id,matches,covered_by_external_dated_fact,coverage_pct
champions_league,2023,28028,2,0,0.0
champions_league,2023,109275,2,0,0.0
champions_league,2023,132687,2,0,0.0
champions_league,2023,134619,2,0,0.0
champions_league,2023,228494,2,0,0.0
champions_league,2024,8,10,0,0.0
champions_league,2024,9,10,0,0.0
champions_league,2024,15,12,0,0.0
champions_league,2024,19,14,0,0.0
champions_league,2024,34,2,0,0.0
champions_league,2024,49,12,0,0.0
champions_league,2024,53,10,0,0.0
champions_league,2024,58,10,0,0.0
champions_league,2024,62,2,0,0.0
champions_league,2024,88,4,0,0.0
champions_league,2024,112,4,0,0.0
champions_league,2024,113,10,0,0.0
champions_league,2024,207,4,0,0.0
champions_league,2024,216,4,0,0.0
champions_league,2024,231,8,0,0.0
champions_league,2024,266,10,0,0.0
champions_league,2024,277,8,0,0.0
champions_league,2024,295,2,0,0.0
champions_league,2024,340,12,0,0.0
champions_league,2024,556,6,0,0.0
champions_league,2024,579,4,0,0.0
champions_league,2024,605,12,0,0.0
champions_league,2024,621,8,0,0.0
champions_league,2024,625,10,0,0.0
champions_league,2024,647,10,0,0.0
champions_league,2024,682,12,0,0.0
champions_league,2024,690,14,0,0.0
champions_league,2024,708,10,0,0.0
champions_league,2024,724,2,0,0.0
champions_league,2024,939,6,0,0.0
champions_league,2024,1114,4,0,0.0
champions_league,2024,1668,6,0,0.0
champions_league,2024,2417,16,0,0.0
champions_league,2024,2604,4,0,0.0
champions_league,2024,2673,10,0,0.0
champions_league,2024,2688,2,0,0.0
champions_league,2024,2727,14,0,0.0
champions_league,2024,2736,2,0,0.0
champions_league,2024,2742,6,0,0.0
champions_league,2024,2930,15,0,0.0
champions_league,2024,2997,2,0,0.0
champions_league,2024,3319,8,0,0.0
champions_league,2024,3357,8,0,0.0
